136 5
k mu power error
2.33987e-02 1.16382e-01 5.62243e+04 2.73154e+03
2.79938e-02 1.08129e-01 5.33368e+04 2.27384e+03
3.27822e-02 9.24252e-02 5.16751e+04 2.01380e+03
3.76295e-02 8.05547e-02 3.91863e+04 1.43351e+03
4.22281e-02 6.84873e-02 3.48716e+04 1.30021e+03
4.72711e-02 1.14615e-01 3.21596e+04 7.96153e+02
5.21643e-02 1.01807e-01 3.05428e+04 7.71273e+02
5.73090e-02 9.39687e-02 2.92749e+04 6.40447e+02
6.25380e-02 8.81175e-02 2.61459e+04 5.91838e+02
6.78462e-02 9.76960e-02 2.45263e+04 4.76794e+02
7.27386e-02 1.09450e-01 2.27511e+04 4.07369e+02
7.76307e-02 9.98948e-02 2.07595e+04 3.63751e+02
8.25950e-02 9.50822e-02 2.00566e+04 3.39502e+02
8.75163e-02 8.89409e-02 1.77192e+04 2.98014e+02
9.25935e-02 1.06590e-01 1.59892e+04 2.34564e+02
9.74570e-02 1.04431e-01 1.47262e+04 2.12923e+02
1.02433e-01 9.73385e-02 1.38653e+04 1.92028e+02
1.07409e-01 9.36720e-02 1.33922e+04 1.87217e+02
1.12489e-01 9.43577e-02 1.22228e+04 1.60076e+02
1.17517e-01 1.04949e-01 1.21726e+04 1.45625e+02
1.22496e-01 1.02926e-01 1.17211e+04 1.40819e+02
1.27507e-01 9.66560e-02 1.11888e+04 1.29900e+02
1.32553e-01 9.60066e-02 1.06625e+04 1.24060e+02
1.37667e-01 1.02357e-01 1.01242e+04 1.08999e+02
1.42574e-01 1.03653e-01 9.60697e+03 1.01876e+02
1.47516e-01 1.00228e-01 8.96646e+03 9.41327e+01
1.52449e-01 9.47914e-02 8.54157e+03 9.02905e+01
1.57434e-01 9.36218e-02 8.03103e+03 8.23091e+01
1.62484e-01 1.05273e-01 7.57319e+03 7.26834e+01
1.67527e-01 1.00596e-01 7.38928e+03 7.02919e+01
1.72554e-01 9.84218e-02 7.13454e+03 6.78239e+01
1.77556e-01 9.67073e-02 6.92874e+03 6.53287e+01
1.82651e-01 1.00436e-01 6.66079e+03 6.00639e+01
1.87529e-01 1.03417e-01 6.45587e+03 5.75381e+01
1.92521e-01 1.00436e-01 6.31698e+03 5.44064e+01
1.97521e-01 9.90615e-02 6.07035e+03 5.36678e+01
2.02495e-01 9.48973e-02 5.93650e+03 5.07977e+01
2.07521e-01 1.03039e-01 5.69224e+03 4.68707e+01
2.12516e-01 1.00963e-01 5.40930e+03 4.40460e+01
2.17564e-01 9.90273e-02 5.20064e+03 4.27808e+01
2.22572e-01 9.68026e-02 5.05402e+03 4.12062e+01
2.27639e-01 1.00694e-01 4.92094e+03 3.93292e+01
2.32503e-01 1.03485e-01 4.83550e+03 3.77812e+01
2.37498e-01 9.98168e-02 4.64437e+03 3.57109e+01
2.42515e-01 9.89110e-02 4.59488e+03 3.56819e+01
2.47475e-01 9.65542e-02 4.47481e+03 3.43937e+01
2.52462e-01 1.02693e-01 4.32345e+03 3.23322e+01
2.57430e-01 1.00698e-01 4.16995e+03 3.05563e+01
2.62504e-01 1.00030e-01 4.07626e+03 2.99609e+01
2.67530e-01 9.74853e-02 3.99642e+03 2.93424e+01
2.72567e-01 9.93660e-02 3.87693e+03 2.83650e+01
2.77501e-01 1.02282e-01 3.81513e+03 2.67760e+01
2.82544e-01 1.00907e-01 3.69088e+03 2.61004e+01
2.87523e-01 9.80001e-02 3.64174e+03 2.58981e+01
2.92500e-01 9.81137e-02 3.54796e+03 2.50362e+01
2.97542e-01 1.01221e-01 3.47129e+03 2.38492e+01
3.02475e-01 1.01959e-01 3.41152e+03 2.33104e+01
3.07479e-01 9.89376e-02 3.30275e+03 2.25106e+01
3.12489e-01 9.84743e-02 3.26607e+03 2.22248e+01
